#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Nov 19 18:54:39 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       blinkenlights_map.ncd
#OUTPUT FILE:      blinkenlights_pad.csv
#PART TYPE:        xc2s200
#SPEED GRADE:      -5
#PACKAGE:          fg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,IOB,IO,UNUSED,,7,,,,,,,,,,
A3,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,,,,
A4,,IOB,IO,UNUSED,,0,,,,,,,,,,
A5,,IOB,IO,UNUSED,,0,,,,,,,,,,
A6,,IOB,IO,UNUSED,,0,,,,,,,,,,
A7,,IOB,IO,UNUSED,,0,,,,,,,,,,
A8,,IOB,IO,UNUSED,,1,,,,,,,,,,
A9,,IOB,IO,UNUSED,,1,,,,,,,,,,
A10,,IOB,IO,UNUSED,,1,,,,,,,,,,
A11,,IOB,IO,UNUSED,,1,,,,,,,,,,
A12,,IOB,IO,UNUSED,,1,,,,,,,,,,
A13,,IOB,IO,UNUSED,,1,,,,,,,,,,
A14,,IOB,IO_VREF_1,UNUSED,,1,,,,,,,,,,
A15,,,TDI,,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,,
B1,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,,
B3,,IOB,IO,UNUSED,,0,,,,,,,,,,
B4,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,,,,
B5,,IOB,IO,UNUSED,,0,,,,,,,,,,
B6,,IOB,IO,UNUSED,,0,,,,,,,,,,
B7,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,,,,
B8,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,,,,
B9,,IOB,IO_VREF_1,UNUSED,,1,,,,,,,,,,
B10,,IOB,IO,UNUSED,,1,,,,,,,,,,
B11,,IOB,IO,UNUSED,,1,,,,,,,,,,
B12,,IOB,IO,UNUSED,,1,,,,,,,,,,
B13,s1,IOB,IO_CS,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B14,,,TDO,,,,,,,,,,,,,
B15,,,GND,,,,,,,,,,,,,
B16,,IOB,IO,UNUSED,,2,,,,,,,,,,
C1,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
C2,,IOB,IO,UNUSED,,7,,,,,,,,,,
C3,,,VCCINT,,,,,,,,2.5,,,,,
C4,,,TCK,,,,,,,,,,,,,
C5,,IOB,IO,UNUSED,,0,,,,,,,,,,
C6,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,,,,
C7,,IOB,IO,UNUSED,,0,,,,,,,,,,
C8,,IOB,IO,UNUSED,,0,,,,,,,,,,
C9,,GCLKIOB,GCK2,UNUSED,,1,,,,,,,,,,
C10,,IOB,IO,UNUSED,,1,,,,,,,,,,
C11,,IOB,IO_VREF_1,UNUSED,,1,,,,,,,,,,
C12,,IOB,IO,UNUSED,,1,,,,,,,,,,
C13,s0,IOB,IO_WRITE,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C14,,,VCCINT,,,,,,,,2.5,,,,,
C15,lights<4>,IOB,IO_DOUT_BUSY,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C16,,IOB,IO,UNUSED,,2,,,,,,,,,,
D1,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
D2,,IOB,IO,UNUSED,,7,,,,,,,,,,
D3,,,TMS,,,,,,,,,,,,,
D4,,,VCCINT,,,,,,,,2.5,,,,,
D5,,IOB,IO,UNUSED,,0,,,,,,,,,,
D6,,IOB,IO,UNUSED,,0,,,,,,,,,,
D7,,IOB,IO,UNUSED,,0,,,,,,,,,,
D8,,IOB,IO,UNUSED,,0,,,,,,,,,,
D9,,IOB,IO,UNUSED,,1,,,,,,,,,,
D10,,IOB,IO,UNUSED,,1,,,,,,,,,,
D11,,IOB,IO,UNUSED,,1,,,,,,,,,,
D12,,IOB,IO,UNUSED,,1,,,,,,,,,,
D13,,,VCCINT,,,,,,,,2.5,,,,,
D14,,IOB,IO_DIN_D0,UNUSED,,2,,,,,,,,,,
D15,,,CCLK,,,,,,,,,,,,,
D16,,IOB,IO,UNUSED,,2,,,,,,,,,,
E1,,IOB,IO,UNUSED,,7,,,,,,,,,,
E2,,IOB,IO,UNUSED,,7,,,,,,,,,,
E3,,IOB,IO,UNUSED,,7,,,,,,,,,,
E4,,IOB,IO,UNUSED,,7,,,,,,,,,,
E5,,,VCCINT,,,,,,,,2.5,,,,,
E6,,IOB,IO,UNUSED,,0,,,,,,,,,,
E7,,IOB,IO,UNUSED,,0,,,,,,,,,,
E8,,,VCCO_0,,,0,,,,,any******,,,,,
E9,,,VCCO_1,,,1,,,,,any******,,,,,
E10,,IOB,IO,UNUSED,,1,,,,,,,,,,
E11,,IOB,IO_VREF_1,UNUSED,,1,,,,,,,,,,
E12,,,VCCINT,,,,,,,,2.5,,,,,
E13,,IOB,IO_VREF_2,UNUSED,,2,,,,,,,,,,
E14,,IOB,IO,UNUSED,,2,,,,,,,,,,
E15,lights<5>,IOB,IO,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E16,,IOB,IO_D1,UNUSED,,2,,,,,,,,,,
F1,,IOB,IO,UNUSED,,7,,,,,,,,,,
F2,,IOB,IO,UNUSED,,7,,,,,,,,,,
F3,,IOB,IO,UNUSED,,7,,,,,,,,,,
F4,,IOB,IO,UNUSED,,7,,,,,,,,,,
F5,,IOB,IO,UNUSED,,7,,,,,,,,,,
F6,,,GND,,,,,,,,,,,,,
F7,,,GND,,,,,,,,,,,,,
F8,,,VCCO_0,,,0,,,,,any******,,,,,
F9,,,VCCO_1,,,1,,,,,any******,,,,,
F10,,,GND,,,,,,,,,,,,,
F11,,,GND,,,,,,,,,,,,,
F12,,IOB,IO,UNUSED,,2,,,,,,,,,,
F13,,IOB,IO_VREF_2,UNUSED,,2,,,,,,,,,,
F14,,IOB,IO_VREF_2,UNUSED,,2,,,,,,,,,,
F15,,IOB,IO_D2,UNUSED,,2,,,,,,,,,,
F16,,IOB,IO,UNUSED,,2,,,,,,,,,,
G1,,PCIIOB,IO_IRDY,UNUSED,,7,,,,,,,,,,
G2,,IOB,IO,UNUSED,,7,,,,,,,,,,
G3,,IOB,IO,UNUSED,,7,,,,,,,,,,
G4,,IOB,IO,UNUSED,,7,,,,,,,,,,
G5,,IOB,IO,UNUSED,,7,,,,,,,,,,
G6,,,GND,,,,,,,,,,,,,
G7,,,GND,,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,,
G11,,,GND,,,,,,,,,,,,,
G12,,IOB,IO,UNUSED,,2,,,,,,,,,,
G13,,IOB,IO,UNUSED,,2,,,,,,,,,,
G14,,IOB,IO,UNUSED,,2,,,,,,,,,,
G15,,IOB,IO,UNUSED,,2,,,,,,,,,,
G16,,IOB,IO_D3,UNUSED,,2,,,,,,,,,,
H1,,IOB,IO,UNUSED,,6,,,,,,,,,,
H2,,IOB,IO,UNUSED,,7,,,,,,,,,,
H3,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
H4,,IOB,IO,UNUSED,,7,,,,,,,,,,
H5,,,VCCO_7,,,7,,,,,any******,,,,,
H6,,,VCCO_7,,,7,,,,,any******,,,,,
H7,,,GND,,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,3.30,,,,,
H12,,,VCCO_2,,,2,,,,,3.30,,,,,
H13,,IOB,IO_VREF_2,UNUSED,,2,,,,,,,,,,
H14,,IOB,IO,UNUSED,,2,,,,,,,,,,
H15,,IOB,IO,UNUSED,,2,,,,,,,,,,
H16,lights<3>,IOB,IO_IRDY,TRISTATE,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J1,,IOB,IO,UNUSED,,6,,,,,,,,,,
J2,,PCIIOB,IO_TRDY,UNUSED,,6,,,,,,,,,,
J3,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
J4,,IOB,IO,UNUSED,,6,,,,,,,,,,
J5,,,VCCO_6,,,6,,,,,any******,,,,,
J6,,,VCCO_6,,,6,,,,,any******,,,,,
